GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2 Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0010179	68	29	7.8592	3.3363	-1.236133444	9.70E-05	0.000371508	yes
Unigene0010182	2	4	0.452	0.8998	0.993281594	0.687546866	0.832683124	no
Unigene0010183	13	9	1.8389	1.2673	-0.537084943	0.523698161	0.681875243	no
Unigene0010184	5	14	1.1778	3.2827	1.478788332	0.063692328	0.128094639	no
Unigene0010185	0	6	0.001	0.7411	9.533524415	0.03127344	0.069386062	no
Unigene0010186	9	4	2.1566	0.9541	-1.176546225	0.267002764	0.411535972	no
Unigene0010187	12	9	1.6311	1.2177	-0.421686488	0.663791876	0.814368129	no
Unigene0010188	6	20	1.2979	4.3064	1.730303099	0.009399957	0.024270772	yes
Unigene0010189	28	60	3.5297	7.5289	1.092893528	0.000868658	0.002825828	yes
Unigene0010190	4	0	0.4887	0.001	-8.932805294	0.125037499	0.223164129	no
Unigene0010193	21	17	2.7469	2.2135	-0.311475017	0.627431963	0.781142519	no
Unigene0010194	0	8	0.001	1.2263	10.26009625	0.007823441	0.020587145	yes
Unigene0010197	4	35	0.68	5.9229	3.122697077	3.43E-07	1.78E-06	yes
Unigene0010198	16	4	2.0978	0.522	-2.006755429	0.011858624	0.029789991	yes
Unigene0010199	8	9	1.3119	1.4691	0.163274848	1	1	no
Unigene0010202	1	10	0.2366	2.3548	3.315082554	0.011740243	0.029576409	yes
Unigene0010203	8	21	1.555	4.0632	1.385701799	0.024220351	0.055835305	no
Unigene0010204	9	9	1.7742	1.7661	-0.006601616	1	1	no
Unigene0010205	6	4	1.254	0.8321	-0.591708524	0.753967752	0.888953546	no
Unigene0010206	0	9	0.001	2.1654	11.08041783	0.003913285	0.01109085	yes
Unigene0010207	0	2	0.001	0.4306	8.750204509	0.500024999	0.660319045	no
Unigene0010209	17	25	2.4048	3.5202	0.549740483	0.280462413	0.429996237	no
Unigene0010210	20	14	4.6327	3.228	-0.521212682	0.391933039	0.557903229	no
Unigene0010211	128	106	11.1359	9.1795	-0.278730683	0.172165131	0.292531248	no
Unigene0010212	6	5	0.8943	0.7418	-0.269728608	1	1	no
Unigene0010216	5	7	0.6246	0.8705	0.478911729	0.77448171	0.906560631	no
Unigene0010217	0	18	0.001	4.0822	11.99513115	7.69E-06	3.41E-05	yes
Unigene0010218	14	7	2.3302	1.1598	-1.006577743	0.189479931	0.314069805	no
Unigene0010219	13	16	2.5358	3.1066	0.292895531	0.711273147	0.85412554	no
Unigene0010220	2	2	0.4731	0.471	-0.006418101	1	1	no
Unigene0010221	15	12	2.1659	1.7248	-0.328537552	0.701302134	0.844976914	no
Unigene0010222	2	0	0.3874	0.001	-8.597680144	0.500024999	0.660319045	no
Unigene0010223	0	1	0.001	0.1983	7.631540867	1	1	no
Unigene0010225	3	2	0.3999	0.2654	-0.59147091	1	1	no
Unigene0010226	21	21	2.3729	2.3619	-0.006703419	1	1	no
Unigene0010227	15	7	3.1115	1.4454	-1.106141447	0.134013933	0.237228354	no
Unigene0010228	306	0	29.4824	0.001	-14.84756635	7.75E-92	3.14E-90	yes
Unigene0010229	21	5	3.8657	0.9162	-2.076995213	0.002509385	0.007424236	yes
Unigene0010230	16	15	2.5932	2.42	-0.099726431	1	1	no
Unigene0010231	32	16	3.1542	1.5698	-1.006693376	0.029497403	0.066531446	no
Unigene0010232	1	1	0.2438	0.2427	-0.006524017	1	1	no
Unigene0010233	2	2	0.3731	0.3714	-0.006588545	1	1	no
Unigene0010234	0	3	0.001	0.4798	8.906289347	0.250037498	0.39084956	no
Unigene0010238	12	7	2.4526	1.4241	-0.784261505	0.35951399	0.523046962	no
Unigene0010239	3	4	0.5791	0.7686	0.40842048	1	1	no
Unigene0010242	2	0	0.4576	0.001	-8.837943242	0.500024999	0.660319045	no
Unigene0010243	16	16	3.1101	3.0958	-0.006648697	1	1	no
Unigene0010244	10	19	1.8227	3.4472	0.919347877	0.136329417	0.240576624	no
Unigene0010245	431	341	34.3272	27.0343	-0.344561183	0.001294339	0.004066663	no
Unigene0010246	16	5	2.3103	0.7187	-1.684618611	0.026681361	0.060849418	no
Unigene0010247	215	158	26.7392	19.5599	-0.451057308	0.004004923	0.011324334	no
Unigene0010248	1	0	0.2029	0.001	-7.664625055	1	1	no
Unigene0010249	20	26	1.74	2.2516	0.371863247	0.461908494	0.632159242	no
Unigene0010250	4	18	0.5345	2.3944	2.163402331	0.004363941	0.012205506	yes
Unigene0010251	2	5	0.2895	0.7205	1.315435082	0.453207015	0.62434186	no
Unigene0010252	10	34	1.2409	4.1997	1.758899416	0.000393673	0.001363835	yes
