ID	logFC
ENSG00000185291	2.3049
ENSG00000217128	1.0403
ENSG00000006459	1.7714
ENSG00000153879	1.245
ENSG00000112984	-1.0229
ENSG00000119655	1.1489
ENSG00000177000	1.3879
ENSG00000118523	2.9841
ENSG00000143479	1.6935
ENSG00000116954	1.4725
ENSG00000244242	6.1138
ENSG00000072422	-1.5743
ENSG00000164430	1.1249
ENSG00000143507	1.7787
ENSG00000164089	-2.4432
ENSG00000059728	1.7929
ENSG00000123240	1.0404
ENSG00000165030	1.5163
ENSG00000152518	1.1775
ENSG00000170345	5.0348
ENSG00000179862	1.2473
ENSG00000112511	1.0921
ENSG00000167772	1.9806
ENSG00000186951	1.0615
ENSG00000108551	4.927
ENSG00000185813	1.0196
ENSG00000162413	1.0772
ENSG00000167994	1.5979
ENSG00000197279	2.0793
ENSG00000070669	2.7897
ENSG00000108984	-1.0194
ENSG00000162783	1.1064
ENSG00000163347	1.5539
ENSG00000033327	1.0386
ENSG00000198369	1.1382
ENSG00000123975	1.0828
ENSG00000100889	1.043
ENSG00000198113	1.1207
ENSG00000011422	1.2494
ENSG00000165943	1.2216
ENSG00000164713	1.0735
ENSG00000171408	-1.6362
ENSG00000109099	1.0513
ENSG00000041353	1.3293
ENSG00000197019	1.8718
ENSG00000172346	-1.1806
ENSG00000137628	-1.042
ENSG00000053747	1.4484
ENSG00000196781	1.1829
ENSG00000101928	1.1028
ENSG00000144802	1.6792
ENSG00000059804	1.3734
ENSG00000120738	6.6775
ENSG00000179361	3.1788
ENSG00000138463	1.2613
ENSG00000106034	-1.4543
ENSG00000167705	1.6687
ENSG00000120211	-2.1736
ENSG00000141452	1.3563
ENSG00000104356	-1.2536
ENSG00000197142	2.8135
ENSG00000163694	1.4148
ENSG00000148120	-1.1023
ENSG00000169155	1.03
ENSG00000176624	1.0396
ENSG00000169184	1.1874
ENSG00000134686	1.0209
ENSG00000011021	1.0722
ENSG00000005102	-2.8315
ENSG00000143416	-1.2485
ENSG00000112972	1.1827
ENSG00000166289	2.7212
ENSG00000140263	-1.0098
ENSG00000109819	1.1718
ENSG00000173626	-2.831
ENSG00000140961	1.8796
ENSG00000132196	1.3219
ENSG00000139926	1.4862
ENSG00000173846	1.9851
ENSG00000096717	1.0805
ENSG00000171223	2.9651
ENSG00000100292	1.3041
ENSG00000003096	-1.0527
ENSG00000148926	1.8019
ENSG00000078902	1.0711
ENSG00000135127	2.7762
ENSG00000125772	1.5648
ENSG00000116852	1.5213
ENSG00000040487	1.2038
ENSG00000189410	1.9672
ENSG00000171174	2.3423
ENSG00000244165	1.7756
ENSG00000186470	-1.1067
ENSG00000172071	1.1088
ENSG00000186792	1.546
ENSG00000142871	1.5708
ENSG00000167470	1.0233
ENSG00000181788	1.1471
ENSG00000166401	1.4179
ENSG00000140945	1.053
ENSG00000197106	2.1855
ENSG00000146278	1.1604
ENSG00000040608	1.7244
ENSG00000179562	1.0492
ENSG00000106617	1.383
ENSG00000171365	1.113
ENSG00000188818	2.1926
ENSG00000156273	1.0093
ENSG00000143878	1.6122
ENSG00000116701	2.1169
ENSG00000105327	1.8003
ENSG00000027869	1.8392
ENSG00000168143	1.4604
ENSG00000130720	1.3023
ENSG00000154438	-2.4568
ENSG00000081041	6.2783
ENSG00000143669	1.1395
ENSG00000128590	1.4971
ENSG00000076641	2.8354
ENSG00000196843	1.9618
ENSG00000184254	-1.1261
ENSG00000147383	1.0064
ENSG00000108439	-1.1398
ENSG00000162512	1.0614
ENSG00000140545	1.1478
ENSG00000127666	1.0417
ENSG00000145632	-1.282
ENSG00000113721	-1.6884
ENSG00000136158	1.3294
ENSG00000111252	1.2241
ENSG00000105855	1.0724
ENSG00000019549	1.575
ENSG00000109971	1.0432
ENSG00000111181	1.2592
ENSG00000168453	-1.0895
ENSG00000164442	1.3161
ENSG00000078081	1.002
ENSG00000169136	1.1529
ENSG00000070540	1.1278
ENSG00000055483	1.2164
ENSG00000185697	1.1048
ENSG00000011638	1.0869
ENSG00000128578	1.2468
ENSG00000186567	1.7826
ENSG00000188766	1.9613
ENSG00000184588	-1.3116
ENSG00000176058	1.034
ENSG00000151726	1.616
ENSG00000013441	1.1131
ENSG00000169429	10.8797
ENSG00000111319	-1.3506
ENSG00000137393	1.0097
ENSG00000072571	-1.1722
ENSG00000158079	1.082
ENSG00000196839	-1.2272
ENSG00000139318	2.6644
ENSG00000198018	1.0134
ENSG00000173267	-1.8615
ENSG00000106948	2.5559
ENSG00000174327	1.5738
ENSG00000154359	1.2889
ENSG00000125740	5.2531
ENSG00000055732	1.2694
ENSG00000026950	-1.1927
ENSG00000198948	1.3945
ENSG00000168672	1.04
ENSG00000150756	-1.2815
ENSG00000164120	-1.413
